name,brand,category,price,claim_type,kcal,sugar_g,carb_g,sweeteners(쉼표구분),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
서주 탱글탱글 제로 사과맛,서주제과,간식/디저트,,무당류,87,0,32,"D-말티톨,D-소비톨액,효소처리스테비아,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M6BCPS9QDM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6BCR0GWHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBCHN3
야쿠르트1971 코코바이트 제로,삼양패키징 광혜원 공장,음료,,무당류,0,0,7,"에리스리톨,아세설팜칼륨,수크랄로스,스테비올 배당체,D-소비톨액,아라비아검",,50,https://zerofinder.co.kr/public/products/original/0M6BBG5T6DM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6BBJF0SNM00.png,https://zerofinder.co.kr/product/0PCNV3FZBRDA2
보성홍차 아이스티 제로 샤인머스캣,동원,음료,,무당류,0,0,1,"수크랄로스,아세설팜칼륨,스테비올 배당체",,50,https://zerofinder.co.kr/public/products/original/0M6BAVAT5SM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6BAXQ5A5M00.png,https://zerofinder.co.kr/product/0PCNV3FZC4GGK
제로 아이스 트리플 초콜릿바,롯데,간식/디저트,,무당류,150,0,16,"D-말티톨,수크랄로스",,50,https://zerofinder.co.kr/public/products/original/0M6B9TSS9SM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B9SKVPHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBBG5N
보성홍차 아이스티 제로 애플,동원,음료,,무당류,0,1,1,"수크랄로스,아세설팜칼륨",,50,https://zerofinder.co.kr/public/products/original/0M6B8ZMN65M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B930Q2NM00.png,https://zerofinder.co.kr/product/0PCNV3FZBRWK1
왓더파머스 제로 두부과자,농업회사법인 담양한과 명진식품,간식/디저트,,무당류,245,0,23,,,50,https://zerofinder.co.kr/public/products/original/0M6B89TXGSM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B8C5J1XM00.png,https://zerofinder.co.kr/product/0PCNV3FZAX19B
제로 오렌지망고,젤리블리,간식/디저트,,무당류,0,0,9,"에리스리톨,수크랄로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M6B7BZJK9M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B7E85JNM00.png,https://zerofinder.co.kr/product/0PCNV3FZB2CBD
납작복숭아 제로,젤리블리,간식/디저트,,무당류,4,0,9.8,"에리스리톨,수크랄로스,효소처리스테비아",,50,https://zerofinder.co.kr/public/products/original/0M6B6JJ0PHM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B6HSFNHM00.png,https://zerofinder.co.kr/product/0PCNV3FZBFBAK
그릭슈바인 제로닭 오리지널,삼립,육가공품,,무당류,177,0,1,효소처리스테비아,,50,https://zerofinder.co.kr/public/products/original/0M6B5S86F5M00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B5T0V3XM00.png,https://zerofinder.co.kr/product/0PCNV3FZBPHAZ
불가리스 유당 제로 복숭아,남양유업 세종공장,유제품,,,60,4.9,8.4,,,50,https://zerofinder.co.kr/public/products/original/0M6B1AECRSM00.png,https://zerofinder.co.kr/public/nutritionfacts/0M6B1BGZYDM00.png,https://zerofinder.co.kr/product/0PCNV3FZAVC2V
