name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL)
제로슈가쿠키 더블초코,잇츠베러,간식/디저트,13000,real,무당류,173,0,25,6,8,240,40,g,"D-말티톨,효소처리스테비아,수크랄로스,말티톨","D-말티톨:0,효소처리스테비아:0,수크랄로스:0,말티톨:0",,53,https://s3.zerofinder.co.kr/public/products/original/0M79857YVJ400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7981BCRY400.png,https://zerofinder.co.kr/product/0PCNV3FZA8V10
티즐 유자 그린티,웅진,음료,15690,real,무당류,5,9,8.8,9,9,25,5000,mL,"에리스리톨,아세설팜칼륨,수크랄로스,스테비올 배당체","에리스리톨:7.5,아세설팜칼륨:0,수크랄로스:0,스테비올 배당체:0",,15,https://s3.zerofinder.co.kr/public/products/original/0M7968SXD2400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M7959QPRA400.png,https://zerofinder.co.kr/product/0PCNV3FZA5KBM
밀크소다 제로 메론,부르르,음료,10600,real,무당류,8,1,3,1,0,10,250,mL,"수크랄로스,알룰로스,아세설팜칼륨","수크랄로스:0,알룰로스:2,아세설팜칼륨:0",,39,https://s3.zerofinder.co.kr/public/products/original/0M78NKMN6P400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M791QEEY6400.png,https://zerofinder.co.kr/product/0PCNV3FZ9TNGH
저당 넛티초코바 초콜릿,라라스윗,간식/디저트,7900,real,저당류,120,2,14,2,9,35,75,mL,"에리스리톨,알룰로스","에리스리톨:3,알룰로스:2",,54,https://s3.zerofinder.co.kr/public/products/original/0M74YKK7QJ400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74YMJRAP400.png,https://zerofinder.co.kr/product/0M74YW902P400
리얼 피스타치오 젤라또바 아이스크림,라라스윗,간식/디저트,7990,real,저당류,105,2,16,2,6,60,70,mL,"알룰로스,아세설팜칼륨,수크랄로스,소르비톨","알룰로스:2,아세설팜칼륨:0,수크랄로스:0,소르비톨:0",,38,https://s3.zerofinder.co.kr/public/products/original/0M74Y39DVJ400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74Y4KQAP400.png,https://zerofinder.co.kr/product/0M74YBV0P2400
저당 헤이즐넛 초코웨하스,라라스윗,간식/디저트,10010,real,저당류,375,2.8,51,6,20,120,80,g,"이소말트,수크랄로스,효소처리스테비아","이소말트:0,수크랄로스:0,효소처리스테비아:0",,5,https://s3.zerofinder.co.kr/public/products/original/0M74XHM0DE400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74XFCTPP400.png,https://zerofinder.co.kr/product/0M74XTXD7J400
저당 바닐라 초코바,라라스윗,간식/디저트,47830,danawa,저당류,170,2,20,3,14,40,90,mL,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스","에리스리톨:6,알룰로스:2,아세설팜칼륨:0,수크랄로스:0",,36,https://s3.zerofinder.co.kr/public/products/original/0M74W5Y2RP400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74W6PK7A400.png,https://zerofinder.co.kr/product/0M74WG8MT2400
치즈케이크 아이스밀크,라라스윗,간식/디저트,10700,estimated,,75,6,12,2,4.2,95,100,mL,"에리스리톨,알룰로스","에리스리톨:0,알룰로스:3",,28,https://s3.zerofinder.co.kr/public/products/original/0M74VQKNY6400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74VRAZC6400.png,https://zerofinder.co.kr/product/0M74VZRWB2400
생요거트 아사이볼,라라스윗,간식/디저트,5860,real,,90,8,37,1,1,10,150,mL,"알룰로스,에리스리톨,수크랄로스","알룰로스:4,에리스리톨:9,수크랄로스:0",,58,https://s3.zerofinder.co.kr/public/products/original/0M74V46MPA400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74V76E2E400.png,https://zerofinder.co.kr/product/0M74VGD852400
저당 넛티초코바 바닐라,라라스윗,간식/디저트,7110,real,저당류,145,3,17,2,11,35,75,mL,"에리스리톨,알룰로스,아세설팜칼륨,수크랄로스","에리스리톨:3,알룰로스:2,아세설팜칼륨:0,수크랄로스:0",,56,https://s3.zerofinder.co.kr/public/products/original/0M74TNE2CJ400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M74TR8J5P400.png,https://zerofinder.co.kr/product/0M74TYWMBT400
